Приложение,Параллельность,Глубина,Запросы_всего,Запросы_успешные,Запросы_неудачные,Запросы_несовпадения,Первый_запрос_мс,Первая_пачка_мс,RPS,Среднее_время_мс,Мин_время_мс,Макс_время_мс,Медиана_мс,P90_мс,P95_мс,P99_мс,Тест_длительность_с,Среднее_CPU,Макс_CPU,Средняя_память_МБ,Макс_память_МБ,Время_запуска_с
graalvm-native-virtualThreads,1024,16,3076,3076,1,0,651,956,1293.48,741,394,1180,731,972,1010,1115,2.38,812.27,1245.00,5137.38,7630.33,1.50
graalvm-native-virtualThreads,1024,32,1974,1974,0,0,1202,2504,498.87,1804,1196,2498,1802,2097,2250,2377,3.96,1194.74,1711.00,6423.03,8488.20,1.52
graalvm-native-virtualThreads,2048,1,72127,72127,0,0,158,236,35331.06,57,0,272,47,87,98,215,2.04,736.90,1111.00,3216.60,4465.04,1.51
graalvm-native-virtualThreads,2048,16,2914,2914,21,0,1219,2893,865.06,1982,902,3217,1743,2897,2905,3154,3.39,1049.12,1602.00,5528.75,7454.27,1.52
graalvm-native-virtualThreads,4096,1,58130,58130,0,0,272,418,27228.62,146,0,418,131,249,326,398,2.13,697.20,1122.00,3585.04,5674.67,1.50
graalvm-native-virtualThreads,4096,16,4096,4096,23,0,2124,6335,649.52,4722,2115,6334,5102,5997,6223,6324,6.34,1535.42,2178.00,6443.32,8485.39,1.50
graalvm-native-virtualThreads,8192,1,48355,48355,14,0,198,643,20867.31,368,0,797,346,514,636,737,2.32,791.27,1221.00,4349.52,6933.76,1.51
graalvm-native-virtualThreads,8192,16,1856,1856,25,0,3430,7005,148.02,5689,3419,8631,5852,6753,6791,6946,7.01,1595.20,2290.00,6548.08,8472.71,1.53
graalvm-native-virtualThreads,16384,1,36518,36518,0,0,336,1266,14021.58,1029,0,2354,1061,1355,1426,1503,2.60,951.54,1439.00,4404.55,6438.65,1.50
graalvm-native-virtualThreads,16384,16,8261,2486,5957,0,2839,17009,336.45,10090,2822,18739,9974,15303,15756,16474,17.01,2241.88,2729.00,7373.30,8525.38,1.55
graalvm-native-virtualThreads,32768,1,32774,32774,0,0,1885,5735,5680.82,4467,1851,5710,4271,5346,5493,5699,5.77,1600.70,2219.00,3747.02,7470.16,1.50
go-fasthttp-maxprocs1,32,1,306414,306414,0,0,2,24,151483.36,0,0,206,0,0,0,0,2.02,401.60,590.00,40.77,42.34,1.63
go-fasthttp-maxprocs1,32,16,49469,49469,0,0,97,100,24680.51,1,0,205,1,1,1,2,2.00,536.50,831.00,95.86,100.96,1.63
go-fasthttp-maxprocs1,32,32,26632,26632,0,0,151,154,13293.86,2,1,156,2,2,2,3,2.00,588.50,908.00,136.50,164.18,1.63
go-fasthttp-maxprocs1,32,64,10704,10704,0,0,203,221,5336.09,5,1,221,5,6,6,7,2.01,488.41,797.00,213.70,235.41,1.61
go-fasthttp-maxprocs1,32,128,3508,3508,0,0,281,306,1746.66,18,3,309,15,17,18,20,2.01,357.70,608.00,359.39,387.43,1.61
go-fasthttp-maxprocs1,64,1,422025,422025,0,0,26,44,207546.22,0,0,209,0,0,0,0,2.03,425.80,624.00,49.11,50.55,1.61
go-fasthttp-maxprocs1,64,16,54684,54684,0,0,136,160,27241.13,2,0,167,2,2,3,4,2.01,551.80,870.00,149.25,180.94,1.58
go-fasthttp-maxprocs1,64,32,22351,22351,0,0,202,215,11144.20,5,1,215,5,6,7,8,2.01,488.50,796.00,222.80,247.38,1.62
go-fasthttp-maxprocs1,64,64,6959,6959,0,0,295,307,3463.55,18,7,307,15,19,20,25,2.01,362.22,613.00,358.76,383.43,1.61
go-fasthttp-maxprocs1,64,128,1795,1795,0,0,460,485,886.74,71,24,482,57,67,73,469,2.02,196.82,348.00,636.84,685.32,1.61
go-fasthttp-maxprocs1,128,1,474444,474444,0,0,47,73,227289.68,0,0,208,0,0,1,1,2.09,425.10,618.00,61.70,64.52,1.61
go-fasthttp-maxprocs1,128,16,47068,47068,0,0,194,201,23465.22,5,0,214,4,7,8,10,2.01,515.04,828.00,223.04,251.77,1.62
go-fasthttp-maxprocs1,128,32,14307,14307,0,0,283,296,7121.88,17,3,300,15,21,23,29,2.01,378.97,633.00,355.11,385.20,1.61
go-fasthttp-maxprocs1,128,64,4075,4075,0,0,417,449,2013.76,63,18,462,51,62,67,441,2.02,232.96,411.00,646.28,699.40,1.61
go-fasthttp-maxprocs1,128,128,1325,1325,0,0,719,815,644.86,196,55,815,141,174,740,801,2.05,163.20,301.00,1131.66,1328.66,1.61
go-fasthttp-maxprocs1,256,1,487834,487834,0,0,24,36,237708.23,0,0,206,0,1,2,3,2.05,445.60,629.00,88.45,94.95,1.61
go-fasthttp-maxprocs1,256,16,32618,32618,0,0,273,285,16239.62,15,0,295,13,19,21,29,2.01,414.90,693.00,359.38,389.15,1.61
go-fasthttp-maxprocs1,256,32,10586,10586,0,0,417,446,5243.88,48,5,456,39,48,52,434,2.02,297.59,529.00,636.66,698.31,1.61
go-fasthttp-maxprocs1,256,64,3276,3276,0,0,709,788,1600.07,158,45,790,110,131,739,771,2.05,184.98,364.00,1121.64,1330.95,1.61
go-fasthttp-maxprocs1,256,128,863,863,0,0,1319,1503,409.40,610,107,1503,305,1443,1461,1482,2.11,143.57,295.00,1848.20,2609.16,1.61
go-fasthttp-maxprocs1,512,1,501226,501226,0,0,104,107,239301.12,2,0,209,1,4,5,8,2.09,431.34,653.00,116.84,129.53,1.61
go-fasthttp-maxprocs1,512,16,21913,21913,0,0,452,479,10856.56,46,1,505,36,50,55,472,2.02,300.40,545.00,622.43,693.73,1.62
go-fasthttp-maxprocs1,512,32,6683,6683,0,0,706,789,3265.72,155,5,811,109,138,727,788,2.05,190.81,376.00,1125.63,1340.89,1.60
go-fasthttp-maxprocs1,512,64,1612,1612,0,0,1379,1582,775.86,652,77,1600,299,1513,1538,1562,2.08,157.23,327.00,1834.58,2613.15,1.60
go-fasthttp-maxprocs1,512,128,512,512,0,0,6621,6707,76.32,6665,6617,6705,6656,6698,6700,6700,6.71,1013.38,1767.00,3318.24,5058.38,1.59
go-fasthttp-maxprocs1,1024,1,479009,479009,0,0,79,96,216988.89,4,0,351,2,9,13,21,2.21,451.23,655.00,187.28,212.82,1.61
go-fasthttp-maxprocs1,1024,16,13620,13620,0,0,679,767,6657.48,152,0,837,108,148,727,783,2.05,194.74,379.00,1157.36,1357.60,1.62
go-fasthttp-maxprocs1,1024,32,3265,3265,0,0,1400,1602,1560.93,648,15,1665,297,1551,1583,1616,2.09,174.80,359.00,1823.93,2605.15,1.62
go-fasthttp-maxprocs1,1024,64,1024,1024,1,0,5971,6121,167.41,6070,5966,6120,6058,6114,6115,6118,6.12,1047.15,1864.00,3276.78,4993.99,1.62
go-fasthttp-maxprocs1,2048,1,388320,388320,4,0,207,215,190029.21,10,0,400,6,23,32,69,2.04,336.56,560.00,301.00,330.67,1.62
go-fasthttp-maxprocs1,2048,16,8128,8128,0,0,1232,1426,3839.40,523,2,1550,284,1386,1428,1479,2.12,157.75,315.00,1799.34,2495.78,1.62
go-fasthttp-maxprocs1,2048,32,2048,2048,0,0,6247,6390,320.38,6329,6238,6388,6328,6385,6386,6387,6.39,1040.80,1812.00,3210.16,4827.29,1.62
go-fasthttp-maxprocs1,4096,1,395627,395627,16,0,269,290,192478.32,20,0,1410,4,30,44,268,2.06,351.12,576.00,433.12,513.95,1.65
go-fasthttp-maxprocs1,4096,16,4096,4096,25,0,5891,6130,671.71,6028,5882,6126,6030,6115,6122,6126,6.14,1061.66,1858.00,3082.43,4764.29,1.62
go-fasthttp-maxprocs1,8192,1,344164,344164,0,0,315,357,163873.85,48,0,1597,2,89,125,1105,2.10,334.77,550.00,667.17,786.07,1.63
go-fasthttp-maxprocs1,8192,16,8192,8192,23,0,6183,6828,1201.00,6655,6153,6826,6726,6814,6817,6821,6.84,1136.56,1845.00,2986.22,4561.63,1.64
go-fasthttp-maxprocs1,16384,1,405752,405752,47,0,199,348,174220.80,86,0,2296,1,17,415,2024,2.33,382.21,573.00,605.04,982.29,1.64
go-fasthttp-maxprocs1,16384,16,16384,16384,141,0,5779,7034,2345.09,6614,5747,7026,6617,6995,7008,7019,7.05,1250.23,1930.00,2563.78,4011.83,1.66
go-fasthttp-maxprocs1,32768,1,83131,83131,81,0,175,821,30116.74,946,0,2707,391,2339,2449,2536,2.76,514.38,910.00,551.94,1010.74,1.67
go-fasthttp-maxprocs1,32768,16,32685,32685,270,0,5324,15114,2175.97,10389,5274,15103,9815,14983,15055,15085,15.14,1442.05,2271.00,2168.85,2976.36,1.71
go-fasthttp,32,1,308229,308229,0,0,2,34,152024.21,0,0,209,0,0,0,0,2.03,386.70,571.00,47.12,48.53,1.70
go-fasthttp,32,16,48502,48502,0,0,85,86,24186.42,1,0,213,1,1,1,2,2.01,485.90,786.00,93.15,109.16,1.71
go-fasthttp,32,32,27056,27056,0,0,118,120,13501.62,2,1,119,2,2,2,3,2.00,563.40,868.00,145.74,172.33,1.72
go-fasthttp,32,64,11276,11276,0,0,161,163,5623.24,5,3,162,5,5,6,7,2.01,509.02,798.00,223.81,249.58,1.69
go-fasthttp,32,128,3841,3841,0,0,199,207,1911.39,16,9,205,15,16,17,19,2.01,396.11,631.00,369.15,385.61,1.70
go-fasthttp,64,1,422928,422928,0,0,44,45,207895.56,0,0,208,0,0,0,0,2.03,405.40,601.00,55.78,58.35,1.70
go-fasthttp,64,16,56375,56375,0,0,119,121,28113.66,2,0,130,2,2,3,3,2.01,551.70,848.00,141.37,169.98,1.70
go-fasthttp,64,32,23358,23358,0,0,170,174,11650.47,5,1,213,5,6,6,8,2.00,499.41,788.00,223.34,245.75,1.70
go-fasthttp,64,64,7785,7785,0,0,197,206,3875.80,16,6,206,14,18,19,23,2.01,405.44,645.00,366.03,383.46,1.70
go-fasthttp,64,128,2082,2082,0,0,276,280,1029.58,61,22,280,55,64,68,278,2.02,245.04,387.00,669.01,687.64,1.68
go-fasthttp,128,1,507949,507949,0,0,55,56,248611.55,0,0,57,0,0,1,1,2.04,432.40,640.00,68.13,73.00,1.69
go-fasthttp,128,16,47134,47134,0,0,158,162,23498.55,5,0,210,4,7,8,10,2.01,516.46,807.00,226.67,243.63,1.69
go-fasthttp,128,32,15045,15045,0,0,204,208,7491.13,16,2,207,15,20,22,28,2.01,403.06,640.00,371.85,389.39,1.68
go-fasthttp,128,64,4485,4485,0,0,266,295,2218.96,57,20,295,51,61,65,276,2.02,285.26,449.00,681.37,694.22,1.69
go-fasthttp,128,128,1646,1646,0,0,447,491,800.54,158,58,486,136,163,457,473,2.06,238.33,369.00,1213.83,1306.51,1.68
go-fasthttp,256,1,470854,470854,0,0,69,73,231295.44,1,0,205,0,1,2,4,2.04,350.32,577.00,88.20,99.38,1.69
go-fasthttp,256,16,32928,32928,0,0,190,199,16384.00,15,1,216,13,20,22,29,2.01,435.60,687.00,382.69,399.88,1.70
go-fasthttp,256,32,11200,11200,0,0,273,303,5547.19,45,7,317,40,50,54,295,2.02,341.60,549.00,682.91,707.82,1.70
go-fasthttp,256,64,3866,3866,0,0,413,512,1887.27,134,47,512,113,132,417,492,2.05,270.08,432.00,1233.99,1326.84,1.69
go-fasthttp,256,128,1354,1354,0,0,732,850,642.24,388,108,845,317,748,765,792,2.11,244.89,373.00,2249.84,2607.25,1.71
go-fasthttp,512,1,455715,455715,0,0,99,109,214655.08,2,0,205,1,4,6,12,2.12,397.81,572.00,125.84,134.20,1.70
go-fasthttp,512,16,23726,23726,0,0,282,301,11754.19,43,1,348,37,51,56,314,2.02,353.83,572.00,677.41,716.22,1.70
go-fasthttp,512,32,8186,8186,0,0,393,477,3999.73,126,24,492,108,133,405,454,2.05,278.54,446.00,1253.27,1334.81,1.70
go-fasthttp,512,64,2862,2862,0,0,758,925,1349.04,371,120,919,295,787,812,856,2.12,272.86,407.00,2213.01,2579.79,1.70
go-fasthttp,512,128,512,512,0,0,4526,4738,108.04,4717,4519,4732,4722,4727,4728,4730,4.74,1153.07,1850.00,3314.60,4699.76,1.70
go-fasthttp,1024,1,473814,473814,0,0,121,136,229970.70,4,0,378,2,9,12,20,2.06,399.85,615.00,184.48,192.46,1.70
go-fasthttp,1024,16,16124,16124,1,0,428,499,7876.85,128,0,553,108,145,446,510,2.05,268.01,437.00,1255.56,1361.34,1.71
go-fasthttp,1024,32,5420,5420,2,0,816,1057,2582.70,389,96,1059,296,848,885,998,2.10,318.61,465.00,2251.72,2599.66,1.69
go-fasthttp,1024,64,1024,1024,0,0,4511,4718,216.94,4703,4503,4718,4708,4713,4714,4716,4.72,1180.54,1862.00,3224.25,4701.41,1.70
go-fasthttp,2048,1,406914,406914,0,0,165,172,199785.47,10,0,828,3,21,29,72,2.04,344.36,555.00,294.10,333.12,1.69
go-fasthttp,2048,16,9803,9803,3,0,929,1162,4627.56,434,105,1213,300,1040,1094,1144,2.12,375.05,528.00,2254.00,2603.74,1.70
go-fasthttp,2048,32,2048,2048,0,0,4281,4839,422.99,4817,4276,4838,4824,4837,4837,4838,4.84,1212.68,1879.00,3246.62,4727.75,1.70
go-fasthttp,4096,1,445925,445925,1,0,228,240,216042.02,18,0,2057,3,15,22,52,2.06,382.84,611.00,430.32,485.52,1.70
go-fasthttp,4096,16,4096,4096,30,0,6169,7009,7.70,6854,6162,7592,6956,6989,7004,7004,7.01,1349.35,2248.00,3358.59,4844.49,1.71
go-fasthttp,8192,1,387508,387508,2,0,164,339,184882.02,43,0,2079,9,40,80,1609,2.10,345.85,566.00,654.61,761.41,1.69
go-fasthttp,8192,16,8192,8192,20,0,6761,7012,7.99,6852,6723,9484,6861,6983,6983,6999,7.01,1391.33,2376.00,3188.03,4674.55,1.72
go-fasthttp,16384,1,196561,196561,22,0,227,467,89850.28,172,0,1424,173,373,519,695,2.19,250.24,406.00,496.14,549.32,1.70
go-fasthttp,16384,16,16384,16384,148,0,5587,9343,1766.58,8744,5555,9337,9216,9315,9322,9329,9.36,1566.46,2351.00,2884.19,4110.05,1.76
go-fasthttp,32768,1,88812,88812,98,0,186,730,17675.78,1226,0,4992,533,3929,4561,4972,5.03,998.17,1712.00,1322.82,1729.30,1.75
go-fasthttp,32768,16,32617,31312,1592,0,5309,16682,1968.58,11865,5250,16678,11668,16558,16646,16674,16.71,1351.64,2147.00,2464.30,3241.17,1.80
graalvm-native-fixedThreads24,32,1,66313,66313,0,0,23,24,33017.52,0,0,209,0,1,2,7,2.01,665.20,1011.00,1130.53,1514.06,1.77
graalvm-native-fixedThreads24,32,16,2356,2356,0,0,101,122,1132.96,27,6,142,15,96,110,121,2.08,717.30,1143.00,1713.44,2082.05,1.80
graalvm-native-fixedThreads24,32,32,1881,1881,0,0,127,149,920.20,34,15,180,27,49,67,154,2.04,673.60,1037.00,2349.77,3038.70,1.78
graalvm-native-fixedThreads24,32,64,181,181,0,0,185,417,69.33,408,13,1256,423,840,849,1256,2.61,140.92,150.00,1019.83,1101.90,1.76
graalvm-native-fixedThreads24,32,128,161,161,0,0,322,516,57.00,454,32,1334,451,864,907,1315,2.82,319.29,370.00,2460.83,3042.71,1.74
graalvm-native-fixedThreads24,64,1,87538,87538,0,0,43,43,43496.29,1,0,203,1,1,2,6,2.01,677.50,983.00,1331.64,2002.18,1.75
graalvm-native-fixedThreads24,64,16,4210,4210,0,0,125,127,2074.68,30,10,196,23,45,66,167,2.03,865.90,1290.00,2728.90,3387.74,1.75
graalvm-native-fixedThreads24,64,32,1860,1860,0,0,170,188,913.11,69,26,188,61,110,132,183,2.04,700.00,1092.00,3326.78,4141.90,1.75
graalvm-native-fixedThreads24,64,64,384,384,0,0,284,432,136.16,385,13,1469,310,845,853,1263,2.82,383.14,438.00,3032.51,3441.54,1.75
graalvm-native-fixedThreads24,64,128,352,352,0,0,541,587,126.53,393,183,1034,375,576,581,817,2.78,762.92,1061.00,5306.36,6742.00,1.74
graalvm-native-fixedThreads24,128,1,84501,84501,0,0,25,32,42061.40,3,0,211,2,4,5,15,2.01,782.80,1125.00,1435.19,2050.64,1.76
graalvm-native-fixedThreads24,128,16,3697,3697,0,0,158,195,1808.15,70,22,194,69,98,122,190,2.04,708.40,1100.00,3562.43,4647.14,1.75
graalvm-native-fixedThreads24,128,32,1663,1663,0,0,278,307,803.07,156,60,307,149,200,279,302,2.07,679.30,1071.00,4268.29,5988.39,1.75
graalvm-native-fixedThreads24,128,64,760,760,0,0,481,784,242.98,395,124,1235,325,585,751,967,3.13,762.27,1027.00,5609.02,7047.83,1.76
graalvm-native-fixedThreads24,128,128,374,374,0,0,932,1673,109.58,921,631,1673,936,1043,1057,1548,3.41,1017.88,1381.00,6345.00,8218.64,1.75
graalvm-native-fixedThreads24,256,1,82788,82788,0,0,69,80,40586.13,6,0,270,4,10,13,45,2.04,751.00,1124.00,1812.46,2424.89,1.74
graalvm-native-fixedThreads24,256,16,3426,3426,0,0,268,339,1621.73,154,38,334,150,203,291,300,2.11,670.40,1097.00,4138.78,5827.50,1.75
graalvm-native-fixedThreads24,256,32,1545,1545,0,0,427,532,723.79,340,134,526,333,477,479,484,2.13,658.70,1013.00,5015.47,7249.58,1.76
graalvm-native-fixedThreads24,256,64,737,737,0,0,762,1468,228.08,811,431,1677,807,1023,1142,1353,3.23,787.94,1073.00,6318.83,8207.25,1.75
graalvm-native-fixedThreads24,256,128,465,465,0,0,1561,2722,84.75,2115,1557,3507,1988,2536,2770,3282,5.49,1147.19,1563.00,7301.08,8501.58,1.75
graalvm-native-fixedThreads24,512,1,81429,81429,0,0,100,118,40409.74,12,0,118,9,21,27,47,2.02,727.90,1078.00,2399.59,3212.07,1.76
graalvm-native-fixedThreads24,512,16,3305,3305,0,0,379,503,1506.67,322,147,520,315,478,487,494,2.19,668.70,1042.00,4754.91,6849.32,1.75
graalvm-native-fixedThreads24,512,32,1536,1536,0,0,747,995,610.64,796,424,1187,830,950,982,1075,2.52,728.67,1126.00,5436.00,7899.66,1.75
graalvm-native-fixedThreads24,512,64,924,924,0,0,1178,2547,211.91,1788,1148,2933,1727,2260,2302,2546,4.36,1034.71,1457.00,6776.90,8480.75,1.76
graalvm-native-fixedThreads24,1024,1,76020,76020,0,0,133,162,37668.05,27,1,160,21,44,53,131,2.02,668.00,1012.00,2679.74,3539.34,1.75
graalvm-native-fixedThreads24,1024,16,3072,3072,1,0,677,921,1260.97,753,366,1132,770,1008,1042,1105,2.44,865.50,1275.00,5332.49,7456.21,1.76
graalvm-native-fixedThreads24,1024,32,1550,1550,1,0,1128,2719,439.70,1856,1119,2720,1889,2372,2429,2709,3.53,971.06,1490.00,6015.54,8484.00,1.75
graalvm-native-fixedThreads24,2048,1,76683,76683,0,0,141,229,37485.58,53,0,276,45,83,96,206,2.05,669.00,1014.00,3285.21,4446.91,1.76
graalvm-native-fixedThreads24,2048,16,3427,3427,0,0,1485,3013,833.92,1964,1184,3107,1733,2459,2615,2826,4.11,1049.25,1603.00,6323.70,8482.85,1.75
graalvm-native-fixedThreads24,4096,1,57873,57873,0,0,266,391,27785.35,143,0,445,137,198,311,391,2.08,625.50,979.00,3852.18,5698.58,1.77
graalvm-native-fixedThreads24,4096,16,4111,4111,20,0,1938,6339,650.45,4711,258,6341,4932,6031,6156,6331,6.35,1402.48,2019.00,6486.67,8487.15,1.77
graalvm-native-fixedThreads24,8192,1,45815,45815,3,0,355,664,20448.42,377,0,810,334,616,656,765,2.24,679.36,1039.00,4536.04,6864.91,1.76
graalvm-native-fixedThreads24,8192,16,2050,2050,56,0,3707,7005,147.30,5717,3695,9367,5820,6753,6776,6906,7.01,1543.38,2381.00,6496.53,8473.73,1.80
graalvm-native-fixedThreads24,16384,1,39159,39159,0,0,235,1219,13975.26,1008,0,1874,1109,1324,1440,1653,2.80,854.79,1280.00,4840.34,6969.00,1.77
graalvm-native-fixedThreads24,16384,16,7018,3785,3364,0,2634,17010,281.89,9727,2610,19407,9651,14252,14971,16864,17.01,2016.68,2622.00,7314.48,8497.53,1.81
graalvm-native-fixedThreads24,32768,1,32830,32830,0,0,978,4587,7119.81,3568,955,4574,3645,4274,4384,4541,4.61,1163.67,1752.00,3419.86,5565.84,1.77
java-fixedThreads24AsyncNIO,32,1,19578,19578,0,0,112,116,9390.72,3,0,223,2,6,9,13,2.08,955.30,1286.00,1190.68,1304.95,2.04
java-fixedThreads24AsyncNIO,32,16,673,673,0,0,204,230,327.08,96,32,230,84,159,190,215,2.06,984.70,1370.00,959.56,1136.95,2.05
java-fixedThreads24AsyncNIO,32,32,1082,1082,0,0,334,368,526.78,60,25,367,47,77,145,360,2.05,908.10,1240.00,1787.41,2695.32,2.03
java-fixedThreads24AsyncNIO,32,64,181,181,0,0,620,772,68.72,404,15,1252,428,846,864,1185,2.63,720.54,795.00,1489.38,1666.23,2.03
java-fixedThreads24AsyncNIO,32,128,113,113,0,0,919,1217,42.19,631,37,1482,673,953,1004,1231,2.68,991.38,1167.00,2279.36,2803.52,2.07
java-fixedThreads24AsyncNIO,64,1,43401,43401,0,0,121,127,21430.83,2,0,210,2,5,6,10,2.03,945.50,1235.00,1250.01,1539.11,2.02
java-fixedThreads24AsyncNIO,64,16,1871,1871,0,0,291,320,917.31,69,31,320,54,90,148,312,2.04,698.20,1014.00,1559.43,2505.27,3.97
java-fixedThreads24AsyncNIO,64,32,1127,1127,0,0,496,579,551.15,114,34,579,85,164,517,548,2.04,1039.20,1387.00,2001.46,2844.36,2.08
java-fixedThreads24AsyncNIO,64,64,294,294,0,0,804,1096,110.85,499,16,1244,438,824,831,1037,2.65,914.23,1142.00,2778.02,3784.82,2.01
java-fixedThreads24AsyncNIO,64,128,128,128,0,0,1468,1680,39.43,1097,516,1751,1477,1498,1503,1719,3.25,1036.56,1319.00,3398.87,4712.07,2.03
java-fixedThreads24AsyncNIO,128,1,40368,40368,0,0,113,126,20094.72,6,0,127,5,10,13,20,2.01,986.50,1295.00,1214.92,1309.66,2.01
java-fixedThreads24AsyncNIO,128,16,2765,2765,0,0,347,505,1347.76,93,31,527,71,141,221,427,2.05,971.90,1317.00,2052.32,2847.42,2.03
java-fixedThreads24AsyncNIO,128,32,990,990,0,0,600,846,463.72,265,43,928,187,689,733,831,2.13,962.90,1320.00,2368.12,3588.54,2.02
java-fixedThreads24AsyncNIO,128,64,359,359,0,0,1103,1639,109.62,858,161,2015,848,1199,1381,1612,3.27,735.69,947.00,3196.54,4134.66,4.00
java-fixedThreads24AsyncNIO,128,128,130,130,0,0,1941,3436,36.48,2203,663,3563,2088,2903,3139,3431,3.56,1109.18,1409.00,3870.00,5121.61,2.04
java-fixedThreads24AsyncNIO,256,1,36764,36764,0,0,173,199,18315.28,13,0,221,10,22,28,59,2.01,957.90,1281.00,1428.66,1850.13,2.04
java-fixedThreads24AsyncNIO,256,16,2162,2162,0,0,495,775,1008.64,244,43,981,194,527,646,775,2.14,954.60,1322.00,2324.10,3523.59,2.03
java-fixedThreads24AsyncNIO,256,32,1001,1001,0,0,869,1327,446.80,543,115,1398,391,1013,1196,1324,2.24,942.73,1298.00,2858.02,4323.18,2.04
java-fixedThreads24AsyncNIO,256,64,468,468,0,0,1352,2304,129.33,1377,434,2836,1459,1907,2209,2440,3.62,814.11,1060.00,4661.14,6783.91,3.93
java-fixedThreads24AsyncNIO,512,1,38352,38352,0,0,162,216,19073.73,26,0,234,17,55,72,163,2.01,1111.30,1443.00,1672.03,2266.57,2.09
java-fixedThreads24AsyncNIO,512,16,2236,2236,0,0,479,1103,956.77,479,6,1582,421,928,1032,1196,2.34,982.00,1320.00,2954.16,4558.95,2.02
java-fixedThreads24AsyncNIO,512,32,1088,1088,0,0,855,1827,423.63,1073,134,2167,1019,1593,1716,1804,2.57,1020.58,1396.00,3521.76,5817.90,2.02
java-fixedThreads24AsyncNIO,512,64,520,520,0,0,1599,4000,120.34,2707,812,4310,2520,3333,3655,4106,4.32,1140.76,1468.00,5917.87,8450.57,2.03
java-fixedThreads24AsyncNIO,1024,1,40026,40026,0,0,178,282,19650.61,51,1,387,38,103,145,235,2.04,971.60,1285.00,1696.23,2139.42,2.09
java-fixedThreads24AsyncNIO,1024,16,2341,2341,0,0,677,1756,928.94,987,25,2381,921,1656,2080,2268,2.52,847.17,1186.00,3369.40,4832.95,3.87
java-fixedThreads24AsyncNIO,1024,32,1294,1294,3,0,1409,3062,369.03,2149,717,3369,2149,3042,3143,3350,3.51,1168.35,1544.00,5197.85,7372.27,2.03
java-fixedThreads24AsyncNIO,2048,1,35263,35263,1,0,218,436,17248.53,116,1,1000,84,239,315,707,2.04,984.60,1318.00,2060.99,2739.39,2.02
java-fixedThreads24AsyncNIO,2048,16,2886,2886,4,0,732,3029,842.15,2077,124,3427,1945,3227,3301,3393,3.43,1318.29,1750.00,4893.11,7253.33,2.10
java-fixedThreads24AsyncNIO,4096,1,29644,29644,2,0,345,763,13320.14,285,2,2175,153,884,1210,1796,2.23,989.36,1306.00,2528.15,3918.46,2.01
java-fixedThreads24AsyncNIO,4096,16,4349,4349,14,0,987,6539,659.55,4671,141,6607,4938,6504,6562,6599,6.62,1497.61,2050.00,6674.14,11135.95,2.02
java-fixedThreads24AsyncNIO,8192,1,30553,30553,3,0,467,1129,12487.03,581,3,2417,270,1879,2111,2252,2.45,1000.33,1315.00,3004.39,4441.34,2.03
java-fixedThreads24AsyncNIO,8192,16,8259,2754,5534,0,936,7016,202.52,4561,711,8820,4556,6502,6777,6969,7.02,1678.06,2272.00,6301.94,8760.89,2.10
java-fixedThreads24AsyncNIO,16384,1,33568,33568,1,0,711,1957,11075.41,1190,3,2992,949,2564,2674,2811,3.03,1059.73,1377.00,4408.20,6609.30,2.05
java-fixedThreads24AsyncNIO,16384,16,16384,3859,12729,0,1408,17019,400.13,12923,1374,19251,14235,16551,16812,16911,17.02,2079.38,2642.00,8967.16,17584.16,2.06
java-fixedThreads24AsyncNIO,32768,1,32768,32768,0,0,3320,6748,4831.44,4772,3248,6682,4873,6131,6367,6465,6.78,1475.75,1948.00,4466.86,7106.54,2.05
graalvm-native-fixedThreads24AsyncNIO,32,1,28922,28922,0,0,34,35,13168.56,2,0,210,0,5,5,7,2.20,769.73,1087.00,594.15,857.57,1.94
graalvm-native-fixedThreads24AsyncNIO,32,16,741,741,0,0,170,181,360.72,87,55,180,83,96,102,179,2.05,820.90,1238.00,527.72,710.28,1.94
graalvm-native-fixedThreads24AsyncNIO,32,32,1201,1201,0,0,140,152,557.41,55,15,266,37,150,190,242,2.15,786.70,1234.00,2622.19,2995.46,1.94
graalvm-native-fixedThreads24AsyncNIO,32,64,195,195,0,0,178,426,65.17,379,13,1437,401,675,847,1230,2.99,130.00,145.00,1013.60,1106.31,1.95
graalvm-native-fixedThreads24AsyncNIO,32,128,164,164,0,0,337,489,54.88,449,32,1282,380,767,867,1101,2.99,327.64,383.00,2947.96,3633.20,1.93
graalvm-native-fixedThreads24AsyncNIO,64,1,87680,87680,0,0,39,41,43670.88,1,0,213,1,1,2,6,2.01,698.40,1000.00,1464.59,2065.80,1.93
graalvm-native-fixedThreads24AsyncNIO,64,16,4085,4085,0,0,138,141,2030.11,31,11,154,22,50,74,139,2.01,652.30,1001.00,2856.04,3498.02,1.93
graalvm-native-fixedThreads24AsyncNIO,64,32,1840,1840,0,0,159,179,908.91,70,26,179,67,108,135,176,2.02,661.70,1008.00,3569.56,4649.76,1.92
graalvm-native-fixedThreads24AsyncNIO,64,64,372,372,0,0,307,479,120.85,388,13,1268,352,653,843,1071,3.08,314.07,349.00,2789.52,3192.73,1.93
graalvm-native-fixedThreads24AsyncNIO,64,128,366,366,0,0,526,859,123.01,399,159,1181,350,579,724,991,2.98,719.50,975.00,5482.86,6904.45,1.93
graalvm-native-fixedThreads24AsyncNIO,128,1,85897,85897,0,0,5,22,42385.29,3,0,52,2,4,5,21,2.03,671.80,994.00,1490.16,2125.68,1.94
